doctor_folder,planned_date,topic_en,slug_hint,status,built_slug,built_url,built_at
dr-owais,2026-06-27,Nausea and vomiting after chemotherapy,nausea-vomiting-chemotherapy,published,what-is-a-chemo-port,https://cioncancerdrowais.com/what-is-a-chemo-port.html,2026-06-27
dr-owais,2026-06-28,Hair loss during cancer treatment,hair-loss-cancer-treatment,pending,,,
dr-owais,2026-06-29,Cancer-related fatigue management,cancer-fatigue-management,pending,,,
dr-owais,2026-06-30,Nutrition and diet during cancer treatment,cancer-nutrition-diet,pending,,,
dr-owais,2026-07-01,Breast cancer treatment options,breast-cancer-treatment,pending,,,
dr-owais,2026-07-02,Cervical cancer symptoms and treatment,cervical-cancer-treatment,pending,,,
dr-owais,2026-07-03,Ovarian cancer signs and diagnosis,ovarian-cancer-diagnosis,pending,,,
dr-owais,2026-07-04,Colorectal cancer screening,colorectal-cancer-screening,pending,,,
dr-owais,2026-07-05,What is lymphoma,what-is-lymphoma,pending,,,
dr-owais,2026-07-06,Types of leukemia,types-of-leukemia,pending,,,
dr-owais,2026-07-07,Multiple myeloma treatment,multiple-myeloma-treatment,pending,,,
dr-owais,2026-07-08,Blood tests used in cancer diagnosis,blood-tests-cancer-diagnosis,pending,,,
dr-owais,2026-07-09,PET-CT scan explained for patients,pet-ct-scan-explained,pending,,,
dr-owais,2026-07-10,Palliative care in cancer,palliative-care-cancer,pending,,,
dr-owais,2026-07-11,Genetic testing for cancer risk,genetic-testing-cancer-risk,pending,,,
dr-owais,2026-07-12,Hereditary cancer syndromes,hereditary-cancer-syndromes,pending,,,
dr-owais,2026-07-13,Managing cancer recurrence,managing-cancer-recurrence,pending,,,
dr-owais,2026-07-14,Immunotherapy side effects,immunotherapy-side-effects,pending,,,
dr-owais,2026-07-15,Targeted therapy explained,targeted-therapy-explained,pending,,,
dr-owais,2026-07-16,Oral chemotherapy medications,oral-chemotherapy-medications,pending,,,
dr-owais,2026-07-17,Chemotherapy port explained,chemotherapy-port-explained,pending,,,
