date,slug,url
NA,about,https://cioncancerdrkiranmayee.com/about.html
NA,book-appointment,https://cioncancerdrkiranmayee.com/book-appointment.html
NA,breast-cancer,https://cioncancerdrkiranmayee.com/breast-cancer.html
NA,cancer-cost-and-aarogyasri,https://cioncancerdrkiranmayee.com/cancer-cost-and-aarogyasri.html
NA,cancer-treatment-options,https://cioncancerdrkiranmayee.com/cancer-treatment-options.html
NA,cancer-warning-signs,https://cioncancerdrkiranmayee.com/cancer-warning-signs.html
NA,caring-for-a-cancer-patient,https://cioncancerdrkiranmayee.com/caring-for-a-cancer-patient.html
NA,cervical-cancer,https://cioncancerdrkiranmayee.com/cervical-cancer.html
NA,chemotherapy,https://cioncancerdrkiranmayee.com/chemotherapy.html
NA,endometrial-cancer,https://cioncancerdrkiranmayee.com/endometrial-cancer.html
NA,faq,https://cioncancerdrkiranmayee.com/faq.html
NA,hormone-therapy-breast-cancer,https://cioncancerdrkiranmayee.com/hormone-therapy-breast-cancer.html
NA,how-cancer-is-diagnosed,https://cioncancerdrkiranmayee.com/how-cancer-is-diagnosed.html
NA,index,https://cioncancerdrkiranmayee.com/index.html
NA,ovarian-cancer,https://cioncancerdrkiranmayee.com/ovarian-cancer.html
NA,privacy,https://cioncancerdrkiranmayee.com/privacy.html
NA,second-opinion,https://cioncancerdrkiranmayee.com/second-opinion.html
NA,targeted-therapy-breast-cancer,https://cioncancerdrkiranmayee.com/targeted-therapy-breast-cancer.html
NA,understanding-cancer,https://cioncancerdrkiranmayee.com/understanding-cancer.html
