date,slug,url
NA,about,https://cioncancerdrmurali.com/about.html
NA,book-appointment,https://cioncancerdrmurali.com/book-appointment.html
NA,breast-surgery,https://cioncancerdrmurali.com/breast-surgery.html
NA,cancer-cost-and-aarogyasri,https://cioncancerdrmurali.com/cancer-cost-and-aarogyasri.html
NA,cancer-surgery,https://cioncancerdrmurali.com/cancer-surgery.html
NA,cancer-treatment-options,https://cioncancerdrmurali.com/cancer-treatment-options.html
NA,cancer-warning-signs,https://cioncancerdrmurali.com/cancer-warning-signs.html
NA,caring-for-a-cancer-patient,https://cioncancerdrmurali.com/caring-for-a-cancer-patient.html
NA,faq,https://cioncancerdrmurali.com/faq.html
NA,gastrointestinal-cancer,https://cioncancerdrmurali.com/gastrointestinal-cancer.html
NA,head-neck-surgery,https://cioncancerdrmurali.com/head-neck-surgery.html
NA,how-cancer-is-diagnosed,https://cioncancerdrmurali.com/how-cancer-is-diagnosed.html
NA,index,https://cioncancerdrmurali.com/index.html
NA,laparoscopic-cancer-surgery,https://cioncancerdrmurali.com/laparoscopic-cancer-surgery.html
2026-06-26T10:25:39Z,pancreatic-cancer-surgery,https://cioncancerdrmurali.com/pancreatic-cancer-surgery.html
NA,privacy,https://cioncancerdrmurali.com/privacy.html
NA,robotic-cancer-surgery,https://cioncancerdrmurali.com/robotic-cancer-surgery.html
NA,second-opinion,https://cioncancerdrmurali.com/second-opinion.html
NA,soft-tissue-sarcoma-surgery,https://cioncancerdrmurali.com/soft-tissue-sarcoma-surgery.html
NA,understanding-cancer,https://cioncancerdrmurali.com/understanding-cancer.html
