date,slug,url
NA,about,https://cioncancerdrsandeep.com/about.html
NA,book-appointment,https://cioncancerdrsandeep.com/book-appointment.html
NA,cancer-cost-and-aarogyasri,https://cioncancerdrsandeep.com/cancer-cost-and-aarogyasri.html
NA,cancer-treatment-options,https://cioncancerdrsandeep.com/cancer-treatment-options.html
NA,cancer-warning-signs,https://cioncancerdrsandeep.com/cancer-warning-signs.html
NA,caring-for-a-cancer-patient,https://cioncancerdrsandeep.com/caring-for-a-cancer-patient.html
NA,faq,https://cioncancerdrsandeep.com/faq.html
NA,how-cancer-is-diagnosed,https://cioncancerdrsandeep.com/how-cancer-is-diagnosed.html
NA,index,https://cioncancerdrsandeep.com/index.html
NA,laryngeal-cancer-surgery,https://cioncancerdrsandeep.com/laryngeal-cancer-surgery.html
NA,neck-dissection,https://cioncancerdrsandeep.com/neck-dissection.html
NA,oral-cancer,https://cioncancerdrsandeep.com/oral-cancer.html
2026-06-26T10:25:39Z,parotid-gland-tumour-surgery,https://cioncancerdrsandeep.com/parotid-gland-tumour-surgery.html
NA,privacy,https://cioncancerdrsandeep.com/privacy.html
NA,salivary-gland-tumour,https://cioncancerdrsandeep.com/salivary-gland-tumour.html
NA,second-opinion,https://cioncancerdrsandeep.com/second-opinion.html
NA,throat-cancer,https://cioncancerdrsandeep.com/throat-cancer.html
NA,thyroid-cancer,https://cioncancerdrsandeep.com/thyroid-cancer.html
NA,tongue-cancer-surgery,https://cioncancerdrsandeep.com/tongue-cancer-surgery.html
NA,understanding-cancer,https://cioncancerdrsandeep.com/understanding-cancer.html
